symbol,name
XLB,Materials
XLC,Communication Services
XLE,Energy
XLF,Financials
XLI,Industrials
XLK,Information Technology
XLP,Consumer Staples
XLRE,Real Estate
XLU,Utilities
XLV,Healthcare
XLY,Consumer Discretionary
